Date,Time,Open,High,Low,Close,Volume
2018.08.17,05:45,1.31480,1.31494,1.31465,1.31475,600
2018.08.17,06:00,1.31475,1.31503,1.31473,1.31489,672
2018.08.17,06:15,1.31489,1.31499,1.31476,1.31499,592
2018.08.17,06:30,1.31500,1.31510,1.31476,1.31485,586
2018.08.17,06:45,1.31488,1.31510,1.31481,1.31500,528
2018.08.17,07:00,1.31498,1.31499,1.31473,1.31480,487
2018.08.17,07:15,1.31480,1.31481,1.31458,1.31466,359
2018.08.17,07:30,1.31466,1.31490,1.31465,1.31475,329
2018.08.17,07:45,1.31475,1.31489,1.31461,1.31487,597
2018.08.17,08:00,1.31488,1.31520,1.31487,1.31503,877
2018.08.17,08:15,1.31502,1.31529,1.31490,1.31508,1222
2018.08.17,08:30,1.31502,1.31513,1.31493,1.31510,891
2018.08.17,08:45,1.31511,1.31545,1.31482,1.31536,1083
2018.08.17,09:00,1.31538,1.31572,1.31519,1.31539,743
2018.08.17,09:15,1.31537,1.31548,1.31447,1.31467,902
2018.08.17,09:30,1.31468,1.31482,1.31414,1.31422,977
2018.08.17,09:45,1.31423,1.31452,1.31390,1.31451,974
2018.08.17,10:00,1.31450,1.31484,1.31440,1.31477,933
2018.08.17,10:15,1.31476,1.31503,1.31456,1.31499,863
2018.08.17,10:30,1.31496,1.31497,1.31445,1.31448,697
2018.08.17,10:45,1.31448,1.31454,1.31397,1.31431,1077
2018.08.17,11:00,1.31431,1.31442,1.31316,1.31324,2156
2018.08.17,11:15,1.31323,1.31372,1.31323,1.31330,1254
2018.08.17,11:30,1.31331,1.31340,1.31291,1.31336,1133
2018.08.17,11:45,1.31335,1.31406,1.31328,1.31406,908
2018.08.17,12:00,1.31407,1.31443,1.31388,1.31427,1305
2018.08.17,12:15,1.31426,1.31472,1.31422,1.31439,1342
2018.08.17,12:30,1.31440,1.31491,1.31416,1.31441,1398
2018.08.17,12:45,1.31440,1.31521,1.31440,1.31519,1332
2018.08.17,13:00,1.31520,1.31570,1.31507,1.31537,1667
2018.08.17,13:15,1.31536,1.31545,1.31478,1.31524,1233
2018.08.17,13:30,1.31523,1.31582,1.31502,1.31564,1058
2018.08.17,13:45,1.31564,1.31571,1.31512,1.31553,1112
2018.08.17,14:00,1.31551,1.31570,1.31501,1.31509,840
2018.08.17,14:15,1.31510,1.31590,1.31501,1.31509,1193
2018.08.17,14:30,1.31510,1.31527,1.31476,1.31487,656
2018.08.17,14:45,1.31491,1.31515,1.31461,1.31504,860
2018.08.17,15:00,1.31503,1.31580,1.31469,1.31490,1712
2018.08.17,15:15,1.31489,1.31493,1.31368,1.31401,1509
2018.08.17,15:30,1.31399,1.31401,1.30678,1.30735,3402
2018.08.17,15:45,1.30735,1.30759,1.30639,1.30750,1876
2018.08.17,16:00,1.30749,1.30800,1.30692,1.30733,1785
2018.08.17,16:15,1.30733,1.30750,1.30686,1.30735,1594
2018.08.17,16:30,1.30735,1.30819,1.30705,1.30800,1695
2018.08.17,16:45,1.30800,1.30814,1.30739,1.30742,1114
2018.08.17,17:00,1.30745,1.30896,1.30718,1.30889,1679
2018.08.17,17:15,1.30888,1.31040,1.30804,1.31030,1561
2018.08.17,17:30,1.31029,1.31034,1.30871,1.30893,1554
2018.08.17,17:45,1.30893,1.30940,1.30831,1.30840,1579
2018.08.17,18:00,1.30840,1.30933,1.30830,1.30895,1349
2018.08.17,18:15,1.30895,1.30905,1.30815,1.30827,1125
2018.08.17,18:30,1.30827,1.30838,1.30793,1.30794,812
2018.08.17,18:45,1.30794,1.30828,1.30763,1.30801,704
2018.08.17,19:00,1.30801,1.30821,1.30735,1.30744,805
2018.08.17,19:15,1.30745,1.30777,1.30690,1.30776,719
